,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rank,Team,Conf,W-L,Pyth,AdjO,AdjOR,AdjD,AdjDR,AdjT,AdjTR,Luck,LuckR,PythSOS,PythSOSR,OppO,OppOR,OppD,OppDR,PythNCSOS,PythNCSOSR
1,North Carolina,ACC,33-4,0.9797,126.6,1,86.7,5,73.9,8,0.005,123,0.8528,2,109.4,5,93.9,3,0.7922,18
2,Illinois,B10,37-2,0.973,124,3,87.4,11,65.1,251,-0.01,163,0.7728,34,107.2,36,96.4,29,0.6911,58
3,Duke,ACC,27-6,0.9647,117.3,15,84.9,1,69,93,-0.009,158,0.8319,6,110,2,95.7,21,0.6362,96
4,Villanova,BE,24-8,0.9602,118.2,12,86.7,4,67.6,144,-0.062,282,0.8148,13,108.5,19,95.4,14,0.6855,61
5,Louisville,CUSA,33-5,0.9601,121,7,88.7,14,68,122,0.04,57,0.7273,64,105.9,70,97.2,55,0.6796,64
6,Florida,SEC,24-8,0.9556,117.8,13,87.3,9,66.5,204,-0.034,225,0.76,42,106.9,43,96.7,38,0.5087,198
7,Michigan St.,B10,26-7,0.9535,121.9,6,90.8,25,67.6,142,-0.019,186,0.7601,40,106.8,45,96.6,36,0.666,77
8,Oklahoma St.,B12,26-7,0.9524,123.8,4,92.4,41,67.2,165,-0.023,197,0.8263,10,108.7,14,94.9,8,0.7253,36
9,Oklahoma,B12,25-8,0.9483,116.7,17,87.8,12,66.7,189,-0.011,166,0.7706,35,107.7,26,97,48,0.5871,133
10,Kentucky,SEC,28-6,0.9474,114.6,24,86.5,3,67.3,162,0.024,93,0.7915,22,108.1,22,96.3,28,0.6557,82
11,Wake Forest,ACC,27-6,0.947,125.8,2,95,72,70.1,55,0.037,63,0.8242,12,108.6,16,94.9,7,0.6775,67
12,Kansas,B12,23-7,0.9468,118.8,11,89.7,18,67.3,163,0,136,0.8545,1,109.4,6,93.8,1,0.8295,9
13,Connecticut,BE,23-8,0.9427,114.3,26,87,7,71.9,28,-0.039,242,0.7924,21,108.9,12,96.9,46,0.5745,145
14,Arizona,P10,30-7,0.9371,119.9,9,92.1,36,69.3,83,0.018,102,0.7831,29,107.9,24,96.5,32,0.7763,21
15,Washington,P10,29-6,0.9333,122.1,5,94.4,60,73,14,0.053,40,0.7855,27,107.6,31,96.1,22,0.7544,24
16,Wisconsin,B10,25-9,0.9324,114,30,88.2,13,63.6,297,0.034,69,0.8272,8,108.9,10,95,9,0.7059,44
17,Syracuse,BE,27-7,0.9309,116.7,16,90.5,22,67.1,173,-0.005,151,0.742,55,107,40,97.6,65,0.4421,252
18,Alabama,SEC,24-8,0.929,120.4,8,93.7,52,64.3,281,0.025,90,0.7489,51,106.3,59,96.7,37,0.5507,163
19,Georgia Tech,ACC,20-12,0.9246,111.2,53,87,8,69.5,75,-0.045,256,0.8244,11,109,8,95.3,12,0.5372,181
20,North Carolina St.,ACC,21-14,0.9221,117.4,14,92.3,39,64.1,287,-0.069,293,0.8146,14,108.5,17,95.4,15,0.5754,144
21,Cincinnati,CUSA,25-8,0.9198,113.5,31,89.5,16,68.9,95,-0.013,172,0.7079,71,105.7,73,97.9,69,0.6464,86
22,Pittsburgh,BE,20-9,0.9138,116.1,19,92.2,38,65.1,250,-0.065,286,0.7269,65,106.6,50,97.9,70,0.3119,301
23,Utah,MWC,29-6,0.9135,113.2,32,89.9,19,60,324,0.025,91,0.666,90,105.7,72,99.6,109,0.5955,125
24,Utah St.,BW,24-8,0.9073,115.5,22,92.5,43,62.5,306,-0.1,317,0.4537,193,100.3,202,101.9,195,0.4702,228
25,Boston College,BE,25-5,0.9069,115.9,20,92.8,46,65.8,226,0.07,21,0.7561,46,106.1,62,96.2,25,0.4759,225
26,Texas,B12,20-11,0.8981,114.5,25,92.6,44,67.6,143,-0.059,273,0.7622,39,107.7,28,97.3,59,0.524,185
27,Iowa,B10,21-12,0.8957,112.9,36,91.5,29,68.7,106,-0.045,255,0.812,15,107.6,30,94.8,6,0.6948,52
28,Texas Tech,B12,22-11,0.8921,111.7,43,90.9,26,69.8,64,0.031,75,0.7889,26,109,9,97.2,53,0.5392,180
29,Vanderbilt ,SEC,20-14,0.8882,112.3,40,91.8,32,66.6,198,-0.062,281,0.7573,45,106.6,51,96.5,33,0.6136,110
30,West Virginia,BE,24-11,0.8835,116.6,18,95.7,78,64.3,279,0.072,19,0.7986,20,108.9,13,96.6,35,0.5802,141
31,Ohio St. ,B10,20-12,0.8816,109.6,59,90.1,20,66.6,195,-0.075,300,0.7288,63,106.1,64,97.3,61,0.4506,246
32,Maryland ,ACC,19-13,0.874,110.3,57,91.3,27,75.5,2,-0.043,248,0.77,36,107.5,34,96.7,40,0.4561,240
33,Gonzaga,WCC,26-5,0.8721,118.8,10,98.5,121,68.2,118,0.003,133,0.6528,97,103.4,126,97.9,73,0.6685,74
34,Southern Illinois,MVC,27-8,0.8692,108.8,67,90.5,21,64.5,270,0.005,124,0.7154,69,106.3,60,98.1,75,0.7009,50
35,Texas A&M ,B12,21-10,0.868,114,29,94.9,68,65.9,221,-0.002,144,0.6847,77,105.1,86,98.3,82,0.2504,317
36,Mississippi St.,SEC,23-11,0.8668,110.1,58,91.7,31,69.6,71,0.033,71,0.736,58,106.6,52,97.5,63,0.5496,165
37,Memphis ,CUSA,22-16,0.8653,110.7,56,92.3,40,67.9,126,-0.067,288,0.6811,79,104.9,88,98.2,79,0.6197,106
38,South Carolina ,SEC,20-13,0.864,112.7,39,94.1,56,64.9,256,-0.027,206,0.7755,32,106.5,53,95.6,20,0.6372,95
39,Louisiana St.,SEC,20-10,0.8629,115.6,21,96.6,87,67.5,150,0.061,30,0.7786,31,107.2,35,96.1,23,0.6147,109
40,Iowa St.,B12,19-12,0.8629,103.9,127,86.8,6,67.8,132,-0.006,153,0.7678,37,108,23,97.3,60,0.5723,147
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
41,New Mexico,MWC,26-7,0.8601,113.1,33,94.7,63,66.3,211,-0.01,162,0.5382,152,102.6,140,101.3,169,0.3033,303
42,Georgetown ,BE,19-13,0.8591,113.1,34,94.8,66,60.4,322,-0.014,176,0.7546,48,106,65,96.2,24,0.4567,239
43,Minnesota,B10,21-11,0.8583,104.2,123,87.4,10,68.5,112,0.006,120,0.7472,53,106.3,58,96.8,41,0.4797,219
44,Creighton,MVC,23-11,0.8536,114.8,23,96.7,89,64.4,275,-0.044,250,0.6594,93,104.2,105,98.4,87,0.513,194
45,George Washington,A10,22-8,0.8483,109.3,63,92.4,42,71.6,33,-0.022,196,0.5786,133,103.2,129,100.4,141,0.6237,103
46,Clemson ,ACC,16-16,0.8474,106,97,89.6,17,70.9,41,-0.061,280,0.8072,17,107.7,29,95.1,10,0.5202,189
47,Saint Joseph's ,A10,24-12,0.8447,107.8,72,91.4,28,62,312,0.011,112,0.6579,94,103.8,117,98.1,76,0.787,19
48,Notre Dame ,BE,17-12,0.8388,111.3,51,94.7,64,65.6,237,-0.054,268,0.7409,56,106.8,44,97.5,64,0.331,295
49,Arkansas ,SEC,18-12,0.8374,106.5,86,90.8,24,66.8,182,-0.069,295,0.6354,104,104.5,99,99.6,106,0.2491,318
50,Providence ,BE,14-17,0.837,112.7,38,96.1,84,69.9,59,-0.104,320,0.8268,9,109.6,4,95.6,19,0.662,79
51,Kansas St. ,B12,17-12,0.8324,111,54,94.9,70,64.7,264,-0.022,195,0.7582,44,106.9,41,96.8,44,0.3279,297
52,Indiana ,B10,15-14,0.8317,111.6,45,95.5,76,62.5,308,-0.001,141,0.8287,7,107.7,27,93.9,2,0.7741,22
53,Wisconsin Milwaukee,Horz,26-6,0.8317,109.6,61,93.8,53,70.2,50,0.07,20,0.5881,125,103.6,120,100.5,146,0.8188,11
54,Miami FL ,ACC,16-13,0.8221,112.2,41,96.6,88,65.8,228,-0.017,180,0.7729,33,107,39,96.2,27,0.4084,266
55,Air Force ,MWC,18-12,0.8215,111.3,50,95.9,81,55.8,329,-0.091,314,0.6107,115,103.5,125,99.5,105,0.4598,236
