,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
56,Nevada,WAC,25-7,0.8203,103.3,132,89.1,15,66.8,185,0.036,68,0.6075,118,104.4,103,100.5,145,0.6686,73
57,Nebraska ,B12,14-14,0.8202,106.6,83,91.9,35,66.3,209,-0.09,313,0.7164,67,105.4,77,97.3,57,0.3316,294
58,Pacific,BW,27-4,0.8186,114.2,27,98.5,122,64.5,273,0.082,13,0.5689,134,102.5,148,100,128,0.7186,37
59,UAB,CUSA,22-11,0.8179,109.1,65,94.2,58,71.9,29,-0.011,165,0.6997,72,105.4,79,97.9,71,0.6641,78
60,Wichita St. ,MVC,22-10,0.8148,114.1,28,98.8,126,64.9,255,-0.027,204,0.6851,76,105.2,83,98.3,83,0.5807,139
61,Northern Iowa,MVC,21-11,0.8128,111.3,52,96.4,86,65.7,229,-0.046,258,0.69,75,105.3,80,98.2,80,0.5961,124
62,DePaul ,CUSA,20-11,0.8098,112.1,42,97.3,100,63.7,295,-0.012,167,0.6705,89,104.5,100,98.2,81,0.5765,143
63,Charlotte,CUSA,21-8,0.8088,111.3,49,96.7,90,71.8,30,0.031,76,0.6713,88,104.7,90,98.4,86,0.5438,172
64,Southwest Missouri St. ,MVC,19-13,0.8079,109.4,62,95.1,74,69.5,77,-0.054,267,0.6735,85,105.5,76,99,94,0.4735,227
65,Tennessee ,SEC,14-17,0.8076,111.4,48,96.8,92,66.2,214,-0.061,278,0.7894,25,107.2,37,95.6,17,0.5804,140
66,UCLA,P10,18-11,0.8071,108.1,69,94,55,70,58,0.023,96,0.7531,49,106.9,42,97,51,0.6376,94
67,Texas El Paso,WAC,27-8,0.803,112.9,37,98.4,120,67.4,158,0.006,122,0.5346,153,101.7,168,100.5,144,0.4383,253
68,Stanford,P10,18-13,0.7925,106.9,80,93.8,54,68,123,0.037,62,0.7838,28,107.6,33,96.2,26,0.7014,47
69,Arizona St. ,P10,18-14,0.7899,111.6,44,98.1,114,69.5,78,-0.06,275,0.695,74,105.2,82,97.9,74,0.4357,254
70,Holy Cross ,Pat,25-7,0.78,103.7,131,91.6,30,64.7,262,0.004,130,0.3775,242,97.5,271,101.8,187,0.6062,119
71,Vermont,AE,25-7,0.773,109.6,60,97.2,99,65.6,234,0.024,92,0.4751,179,99.6,220,100.4,143,0.7831,20
72,Missouri ,B12,16-17,0.7697,105.9,98,94.1,57,65,253,0.037,64,0.802,19,108.9,11,96.4,30,0.6407,91
73,Miami OH ,MAC,19-11,0.7684,104.8,117,93.3,48,61.5,314,0,137,0.6605,91,105.9,69,99.9,124,0.7017,46
74,Xavier ,A10,17-12,0.7643,111.5,47,99.4,134,64.1,285,-0.099,316,0.5839,131,102.5,147,99.6,107,0.6551,83
75,Old Dominion,CAA,28-6,0.7616,103.8,129,92.6,45,67.6,145,0.042,54,0.4199,213,99.6,219,102.4,212,0.46,235
76,Western Michigan ,MAC,20-13,0.7594,110.8,55,99.1,131,65.9,224,-0.076,301,0.6075,117,103.8,119,99.9,125,0.6071,117
77,Louisiana Lafayette,SB,20-11,0.7584,106,94,94.8,65,68.4,115,0.029,79,0.6287,106,104.4,101,99.7,114,0.8215,10
78,Virginia ,ACC,14-15,0.7539,108,71,96.8,93,68.7,105,0.049,47,0.8443,4,110.1,1,95.1,11,0.5819,137
79,Buffalo ,MAC,23-10,0.7509,106.5,84,95.7,77,69.4,80,0.044,50,0.6196,113,104.4,102,100,129,0.5496,164
80,St. Mary's,WCC,25-9,0.7492,105.7,102,95,73,66,218,0.07,23,0.6255,109,104.3,104,99.8,117,0.5573,158
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
81,Akron ,MAC,19-10,0.7462,104,124,93.7,51,67.2,168,-0.025,201,0.5846,128,104.2,106,101.2,165,0.4522,244
82,Washington St. ,P10,16-Dec,0.742,94.5,253,85.2,2,59.5,326,-0.058,271,0.7913,23,108.7,15,96.8,42,0.709,41
83,Pennsylvania,Ivy,20-9,0.741,100.4,174,90.6,23,69.4,81,0.027,83,0.484,174,100.9,187,101.5,175,0.6773,69
84,St. John's ,BE,18-Sep,0.7318,101.3,162,91.8,34,67.8,130,-0.094,315,0.7905,24,108.5,18,96.7,39,0.5078,199
85,Temple ,A10,16-14,0.7302,108.9,66,98.8,128,61.3,316,-0.054,266,0.7097,70,105.1,84,97.3,58,0.8853,2
86,Virginia Tech ,ACC,16-14,0.7298,104.6,121,94.9,69,67.2,169,0.028,80,0.7222,66,105.4,78,97,49,0.2655,313
87,Florida St. ,ACC,19-Dec,0.7295,105.1,114,95.4,75,66.7,191,-0.078,303,0.8118,16,108.3,20,95.4,13,0.501,208
88,Nevada Las Vegas ,MWC,17-14,0.7283,107.5,76,97.7,107,69.9,60,0.016,104,0.7301,61,106.6,48,97.8,67,0.6755,70
89,Rice ,WAC,19-12,0.7258,107.6,74,97.8,108,67.7,138,-0.002,146,0.6406,103,104,113,98.9,92,0.6914,57
90,Oral Roberts ,MCon,25-8,0.7178,105.2,112,96,83,70.9,42,-0.022,193,0.432,203,102,159,104.4,273,0.6448,87
91,Ohio,MAC,21-11,0.7165,109.1,64,99.6,138,66.6,196,0.031,77,0.5912,124,103.5,124,100.2,134,0.4762,224
92,Seton Hall ,BE,16-Dec,0.7147,100.8,166,92.2,37,65.2,245,-0.045,254,0.7524,50,107.1,38,97.2,56,0.367,283
93,Marquette ,CUSA,19-12,0.7087,107.8,73,98.8,129,62.5,307,0.043,53,0.6542,95,103.9,114,98.3,84,0.477,223
94,Colorado ,B12,14-16,0.7042,108.1,68,99.3,133,70.6,48,0.048,48,0.8057,18,108.2,21,95.6,18,0.5413,175
95,Oregon ,P10,14-13,0.7039,106.1,92,97.5,104,67.4,154,0.015,105,0.7479,52,106.5,57,96.8,45,0.5468,167
96,Toledo ,MAC,16-13,0.7007,105.6,105,97.2,98,66.7,190,-0.04,244,0.6496,98,104.5,98,99,93,0.7407,30
97,Kent St. ,MAC,20-13,0.6948,105,115,96.9,95,66.7,192,-0.009,157,0.6421,102,104.6,93,99.4,102,0.7092,40
98,Purdue ,B10,21-Jul,0.6941,106,96,97.8,109,64.4,276,-0.111,323,0.8512,3,109.8,3,94.4,4,0.7066,43
99,Denver ,SB,20-11,0.6915,106.5,87,98.4,119,67.3,160,-0.065,285,0.5306,157,101.5,172,100.4,142,0.6012,121
100,Texas Christian ,CUSA,21-14,0.6908,102.6,140,94.9,67,68.5,113,0.037,61,0.6532,96,104.2,110,98.6,90,0.5119,197
101,Houston ,CUSA,18-14,0.6905,105.5,107,97.5,105,67.3,159,0.028,81,0.6777,82,104.7,91,98.1,77,0.6383,93
102,Western Kentucky ,SB,22-9,0.6851,111.5,46,103.4,198,67.6,148,-0.036,235,0.5045,169,101.4,176,101.3,168,0.5063,202
103,Mississippi ,SEC,14-17,0.6812,101.5,157,94.3,59,64.3,280,-0.037,238,0.7295,62,106.7,46,97.9,72,0.3961,273
104,Dayton ,A10,18-11,0.6772,101.5,158,94.4,61,64.2,284,-0.013,174,0.5199,161,101.6,169,100.9,155,0.5061,203
105,Wyoming ,MWC,15-13,0.6756,104.6,120,97.4,103,70.1,56,0.032,72,0.674,84,104.5,95,98.1,78,0.5456,168
106,Bucknell,Pat,23-10,0.6724,100.1,178,93.3,49,64.1,286,0.056,33,0.4515,194,100.2,204,101.9,197,0.6619,80
107,Northwestern ,B10,15-16,0.6686,101.3,161,94.6,62,62.4,309,0.052,41,0.7585,43,107.6,32,97.4,62,0.4677,230
108,Southern California ,P10,17-Dec,0.665,106.7,82,99.8,142,71.6,34,-0.029,214,0.76,41,106.6,49,96.4,31,0.6192,107
109,Michigan ,B10,13-18,0.6561,103.2,136,96.9,94,63.1,301,-0.035,229,0.7548,47,106.5,56,96.5,34,0.5453,169
110,Hofstra ,CAA,21-9,0.655,105.1,113,98.7,125,67.4,157,0.01,113,0.4476,196,99.2,230,101,159,0.4886,216
111,Ball St. ,MAC,15-13,0.6527,107.5,75,101.1,163,66.7,187,-0.03,215,0.6424,101,105.2,81,100,127,0.6559,81
112,Cal St. Northridge ,BW,18-13,0.6527,102.3,144,96.2,85,69.2,87,-0.078,302,0.5128,164,101.9,163,101.4,172,0.5769,142
113,Hawaii ,WAC,16-13,0.6505,104.8,118,98.6,123,65.8,225,-0.049,261,0.5575,141,101.9,162,99.9,121,0.4544,241
114,San Diego ,WCC,16-13,0.6483,107,79,100.8,156,71.7,31,-0.012,171,0.6143,114,104.2,107,100.1,131,0.4904,215
115,Oregon St. ,P10,17-15,0.6433,106.3,90,100.4,152,69,91,0.051,44,0.6742,83,104.2,108,97.8,68,0.2958,305
116,Boston University ,AE,20-9,0.6404,97.1,220,91.8,33,62.7,305,0.015,106,0.4039,224,98.3,249,101.6,181,0.5946,126
117,Southern Methodist ,WAC,14-14,0.6404,104,125,98.3,116,65,252,-0.067,290,0.5973,121,103.2,130,99.7,112,0.5447,170
118,Rutgers ,BE,19-Oct,0.6391,106.8,81,101,160,65,254,-0.017,183,0.8352,5,109.1,7,94.8,5,0.6203,105
119,South Florida ,CUSA,14-16,0.6299,102.5,141,97.3,101,67.4,156,-0.08,306,0.5975,120,102.6,144,99.1,96,0.2359,322
120,Drexel ,CAA,17-12,0.6266,105.3,111,100.1,143,66.2,212,-0.035,228,0.5051,168,100.9,184,100.8,151,0.6737,72
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
121,Middle Tennessee ,SB,19-12,0.6263,103.2,135,98.1,115,66.5,203,-0.029,213,0.4825,175,101.3,179,101.9,194,0.46,234
122,Illinois St. ,MVC,17-13,0.6239,104.3,122,99.3,132,64.7,263,0.047,49,0.6459,99,104.5,96,99.2,97,0.3678,282
123,Virginia Commonwealth ,CAA,19-13,0.6223,105.4,108,100.3,149,66.2,213,-0.044,251,0.4731,181,100,211,101,158,0.5945,127
124,Cal St. Fullerton ,BW,21-11,0.6218,105.6,104,100.6,153,71.6,32,0.051,43,0.516,162,101.8,165,101.3,170,0.5623,154
125,Santa Clara ,WCC,15-16,0.6212,105.3,109,100.4,150,69.9,61,-0.061,277,0.6093,116,103.8,116,99.9,122,0.5407,177
126,San Francisco ,WCC,17-14,0.6166,100.4,175,95.8,79,66.6,197,0.036,67,0.6274,108,104.1,111,99.4,103,0.5682,151
127,Niagara,MAAC,20-10,0.6125,112.9,35,108,265,71,39,-0.039,241,0.4236,211,100.1,208,102.8,221,0.6306,99
128,Drake ,MVC,13-16,0.6098,104.7,119,100.2,147,67.9,128,0.011,111,0.6795,80,105.1,85,98.5,88,0.4742,226
129,Bradley ,MVC,13-15,0.608,101.4,160,97.1,97,71.5,35,-0.004,148,0.6794,81,106.5,55,99.7,115,0.5069,201
130,Davidson ,SC,23-9,0.6066,105.3,110,100.9,158,66.5,200,0.1,7,0.513,163,100.6,194,100.1,132,0.8443,8
131,Winthrop,BSth,27-6,0.6048,100,180,95.9,80,63.9,290,0.055,35,0.284,290,97.7,261,105.9,309,0.6322,98
132,California ,P10,13-16,0.6004,101.6,156,97.6,106,67.7,139,0.02,101,0.7159,68,105.8,71,97.6,66,0.3823,277
133,Pepperdine ,WCC,17-14,0.5931,107.3,77,103.4,200,69.8,65,0.017,103,0.5959,122,102.7,139,99.3,100,0.5015,206
134,Detroit ,Horz,14-16,0.5912,101.7,152,98.1,113,60.3,323,-0.08,307,0.5482,148,103.6,122,101.9,190,0.6752,71
135,Auburn ,SEC,14-17,0.5844,105.5,106,102.1,173,68.7,108,0.054,38,0.7472,54,106.5,54,96.9,47,0.4442,250
136,Colorado St. ,MWC,17-Nov,0.5767,102.6,139,99.6,137,67.6,141,-0.117,325,0.6597,92,105.6,75,99.7,113,0.4329,256
137,Northeastern ,AE,21-10,0.5755,103.2,134,100.2,146,72.6,16,0.074,17,0.4279,206,98.5,245,101,160,0.6169,108
138,San Diego St. ,MWC,18-Nov,0.5663,105.7,101,103,191,67.6,146,-0.028,211,0.734,59,106,66,97.1,52,0.628,100
139,Louisiana Tech ,WAC,14-15,0.5592,102,148,99.7,139,68.6,110,-0.022,194,0.5846,127,102.6,143,99.6,111,0.5197,190
140,Murray St. ,OVC,17-11,0.5578,106,95,103.6,202,64.3,283,-0.069,292,0.3937,228,100.7,190,104.6,275,0.6835,62
141,Bowling Green ,MAC,18-11,0.5545,106,93,103.8,203,66.2,215,0.093,10,0.5843,129,103.9,115,100.8,153,0.4509,245
142,St. Louis ,CUSA,21-Sep,0.5545,94.9,248,92.9,47,61.1,317,-0.068,291,0.6983,73,106.1,63,98.6,91,0.5688,150
143,Fresno St. ,WAC,16-14,0.5535,100.9,164,98.8,127,69.7,67,-0.014,175,0.5203,160,101.9,160,101.2,166,0.3288,296
144,Tulsa ,WAC,20-Sep,0.5511,99.4,189,97.4,102,70.8,45,-0.181,330,0.5549,145,102.6,141,100.7,150,0.4465,247
145,Illinois Chicago ,Horz,15-14,0.547,106.2,91,104.2,213,67.2,166,-0.019,187,0.5601,139,102.5,150,100.3,139,0.8032,14
146,George Mason ,CAA,16-13,0.5454,106.5,85,104.7,223,66.9,178,-0.047,260,0.4358,201,99.6,218,101.9,193,0.4789,221
147,Brigham Young ,MWC,21-Sep,0.5431,100.4,176,98.7,124,66.7,193,-0.106,322,0.7664,38,107.8,25,97.2,54,0.7354,32
148,Portland ,WCC,15-15,0.5396,102.3,143,100.7,154,66.8,183,-0.032,221,0.5562,144,101.5,171,99.6,108,0.4022,270
149,Northern Illinois ,MAC,17-Nov,0.5352,105.9,99,104.4,218,63.8,292,-0.084,309,0.6249,110,104.6,92,100.1,130,0.6116,113
150,Southeastern Louisiana,Slnd,24-9,0.5328,94.8,251,93.5,50,61,320,-0.005,150,0.3388,262,98.1,255,104,258,0.5605,156
151,Indiana St. ,MVC,20-Nov,0.5295,96,234,94.9,71,64.5,274,-0.028,208,0.6829,78,106.1,61,99.3,99,0.4955,210
152,Richmond ,A10,14-15,0.529,102.1,147,101,159,67.1,172,0.053,39,0.6713,87,104.8,89,98.5,89,0.7977,16
153,Butler ,Horz,13-15,0.5272,107.1,78,106,238,59.3,327,-0.128,326,0.4694,184,100.8,189,101.9,196,0.4834,218
154,IUPUI ,MCon,16-13,0.5264,108.1,70,107,245,63.7,294,-0.043,247,0.459,189,102.8,137,104.3,268,0.679,66
155,Evansville ,MVC,17-Nov,0.5231,105.8,100,104.8,229,67.7,137,-0.044,253,0.621,112,104.2,109,99.8,118,0.2846,309
156,Arkansas Little Rock ,SB,18-10,0.518,100.5,173,99.8,141,64.3,278,0.118,5,0.5801,132,102.9,136,100,126,0.6775,68
157,College of Charleston ,SC,18-10,0.5142,99.4,188,98.8,130,68.7,102,0.005,126,0.31,275,97.6,265,104.6,277,0.3174,299
158,Massachusetts ,A10,16-12,0.5095,98.4,208,98.1,112,64.5,268,0.123,3,0.5593,140,102.5,149,100.4,140,0.6258,101
159,NC Wilmington ,CAA,19-10,0.5059,98.6,205,98.3,117,63.8,291,0.063,28,0.4255,208,100.3,199,103,226,0.4024,269
160,Princeton ,Ivy,15-13,0.4999,103.1,137,103.1,194,54.2,330,-0.027,207,0.503,170,100.3,203,100.2,133,0.7023,45
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
161,Manhattan ,MAAC,15-14,0.4945,102.1,146,102.3,176,67.2,170,-0.067,289,0.4651,186,101.8,166,103.1,229,0.8179,12
162,Loyola Marymount ,WCC,17-Nov,0.4905,96.4,231,96.7,91,69.1,89,-0.047,259,0.631,105,104.6,94,99.8,120,0.5552,160
163,Arkansas St. ,SB,16-13,0.4852,103.7,130,104.3,217,69.5,76,-0.036,236,0.4716,183,100.6,191,101.6,180,0.367,284
164,Rider ,MAAC,19-11,0.4731,105.7,103,106.8,244,66.8,184,0.036,65,0.3893,231,99.5,222,103.4,241,0.4544,242
165,Fairfield ,MAAC,15-15,0.4674,100,179,101.2,167,64.5,269,-0.05,262,0.4273,207,100.3,200,102.9,224,0.5865,134
166,Chattanooga,SC,20-11,0.467,97.1,221,98.4,118,68.2,116,0.05,45,0.408,221,99.7,217,103,225,0.7498,26
167,Texas A&M Corpus Chris ,ind,20-8,0.4656,101.1,163,102.5,179,67.6,149,0.041,55,0.2851,289,96.6,292,104.6,276,0.2851,308
168,Northwestern St. ,Slnd,21-12,0.462,101.9,150,103.4,199,68.7,103,0.064,27,0.4302,205,99.8,214,102.3,207,0.795,17
169,Eastern Kentucky,OVC,22-9,0.46,100.3,177,101.9,172,66.8,180,0.089,11,0.3578,250,100.1,207,105.3,293,0.5913,129
170,Fordham ,A10,13-16,0.4575,96.3,232,97.9,111,66.9,179,-0.009,159,0.5326,154,101.5,174,100.3,138,0.5192,191
171,New Orleans ,SB,13-17,0.4567,101.6,153,103.4,197,65.1,248,-0.008,156,0.5571,142,103,133,101,157,0.5994,122
172,Wright St. ,Horz,15-15,0.4548,103,138,104.8,227,62,311,0.012,109,0.5217,158,102.2,157,101.4,173,0.6053,120
173,Loyola Chicago ,Horz,13-17,0.4529,98.5,206,100.4,151,68.8,100,-0.025,199,0.5661,136,103.8,118,101.4,174,0.7385,31
174,Oakland,MCon,13-19,0.4516,106.4,89,108.4,273,65.6,235,-0.033,224,0.5948,123,104.5,97,101.1,161,0.8759,3
175,Tennessee Tech ,OVC,18-11,0.4505,98.3,210,100.2,148,68.6,109,-0.002,143,0.355,252,100,212,105.3,292,0.6102,114
176,Georgia Southern ,SC,18-13,0.445,99.1,199,101.2,165,76,1,-0.063,283,0.3461,258,97.5,269,103,228,0.4639,232
177,Sam Houston St. ,Slnd,18-12,0.4427,94.8,249,97,96,71.9,26,-0.012,169,0.388,232,99.1,234,103.1,230,0.7174,38
178,Albany ,AE,13-15,0.4417,100.6,169,102.9,186,66,217,-0.131,328,0.3678,245,96.9,287,101.6,178,0.418,261
179,St. Peter's ,MAAC,15-13,0.4415,102.2,145,104.6,221,73.8,10,-0.028,209,0.4005,226,99.8,213,103.4,240,0.5225,188
180,Penn St. ,B10,23-Jul,0.44,100.6,170,103,188,66.8,186,-0.035,230,0.7798,30,106.7,47,95.5,16,0.4931,212
181,Iona ,MAAC,15-16,0.4336,99.1,197,101.7,171,68.7,107,-0.032,220,0.4154,217,101.1,182,104.2,264,0.5496,166
182,UC Irvine ,BW,16-13,0.4223,100.9,165,104,208,65.5,239,0.043,52,0.4639,187,100.5,196,101.8,186,0.4172,262
183,Wisconsin Green Bay ,Horz,17-11,0.4217,101.6,154,104.8,228,67.1,171,0.125,2,0.5074,166,102.3,155,102,200,0.5608,155
184,Missouri Kansas City ,MCon,16-12,0.4207,103.9,128,107.1,248,67.8,131,0.013,108,0.4115,220,101.9,164,105.1,286,0.5523,161
185,Georgia ,SEC,20-Aug,0.4203,93.1,272,96,82,65.3,243,-0.017,181,0.7329,60,105.9,68,97,50,0.2935,306
186,Binghamton ,AE,17-Dec,0.4197,96.7,229,99.8,140,64.4,277,-0.058,270,0.4227,212,98.9,238,101.7,182,0.5893,131
187,East Carolina ,CUSA,19-Sep,0.4187,94.8,250,97.9,110,67.9,125,-0.03,216,0.7397,57,106,67,96.8,43,0.689,59
188,Boise St. ,WAC,16-18,0.4183,103.9,126,107.3,254,70.2,52,0.067,25,0.5126,165,100.4,197,99.9,123,0.2327,323
189,Southeast Missouri St. ,OVC,15-14,0.4178,100.5,172,103.8,204,65.3,244,-0.102,318,0.4062,222,100.6,192,104,257,0.6497,85
190,Baylor ,B12,19-Sep,0.4168,104.9,116,108.4,272,64.8,259,-0.059,272,0.645,100,103.6,121,98.4,85,0.0735,330
191,Eastern Michigan ,MAC,18-Dec,0.4118,101.4,159,105,231,71,38,-0.042,245,0.5523,147,102.4,151,100.6,148,0.366,285
